
[-0.40529314894853147, -171.57692605551648]
[-25.05930394290702, -168.02939794294488]
[-0.36069419161340893, -168.89295793527864]
[-0.5731777564181134, 59.54593689496191]
[-25.23493535033656, -168.68146406125533]
[-0.8938142648061774, -173.1680708437072]
[-0.6205099618266989, 58.347508644803476]
[-25.3577534180496, -168.5453315770691]
[-0.599764839631504, -168.9316760228856]
[-0.5224272845291974, 62.150021881611536]
[-25.114977209448575, -170.2466113367383]
[-0.20747992858074352, -167.2464193545949]
[-0.6294799872770817, 60.626325354566646]
[-25.089031922274255, -166.05516527926363]
[-0.4381231245981938, -171.70200604923963]
[-0.33581157048140053, 58.45504390306451]
[-25.26768332133745, -170.70101705365315]
[-0.5555319433437375, -169.45048130717177]
[-0.6515334357199809, 61.849613397649634]
[-25.13467700254503, -166.95281444045506]
[-0.38798498065966824, -170.61083912247713]
[-0.3448879858135226, 58.25876456538192]
[-25.236338433044388, -165.56169538805398]
[-0.5017988460361665, -171.63203929850803]
[-0.2917174960516501, 59.198842963178905]
[-25.2201351515928, -169.32639610796792]
[-0.4504002300111948, -169.67414842373495]
[-0.6366934491113134, 59.86946320437647]
[-25.03638559021274, -164.46851424532176]
[-0.5262854485369276, -172.98315900816803]
[-0.30307820899803456, 58.70236553327499]
[-25.18175720492844, -164.12695572502895]
[-0.580196861057865, -171.74417359298081]
[-0.15915691917988214, 58.34661901567543]
[-25.04025536604789, -167.17575711411854]
[-0.5707742365445265, -171.19450013695757]
[-0.7974524091126792, 60.35612122890936]
[-25.15304455635204, -167.51729910430058]
[-0.8707228633371928, -172.4645022880359]
[-0.4239355595493847, 59.98752524255089]
[-25.13660907329839, -168.40730220062554]
[-0.00815256202683353, -169.5390140022933]
[-0.5652186294504908, 58.48423611042903]
[-25.169600445381732, -167.8190148563951]
[-0.29826149219020714, -170.25147494286261]
[-0.5973040794790767, 60.167905084665946]
[-25.11817278389479, -165.0595497732229]
[-0.40783616205790973, -170.69820363926175]
[-0.39322573879846495, 60.857288828535864]
[-24.984632665377458, -167.99301772711203]
[-0.5620305152102816, -172.03303363889628]
[-0.6116613214427321, 58.734349331428575]
[-25.077142400138946, -170.5131246795976]
[-0.5898957045456094, -171.78996694864978]
[-0.45111350977462206, 59.52482615479128]
[-25.173662398850254, -168.1725672234821]
[-0.6815536976733318, -171.4251670500647]
[-0.6069822446160914, 62.49021932563154]
[-25.203128196655914, -169.0081421811792]
[-0.5235592125091675, -170.80746713903645]
[-0.460912245757422, 60.78243994965849]
[-25.072665962239384, -169.79726965816462]
[-0.5152160975757575, -171.08442919575754]
[-0.6410843979930703, 60.21402326631148]
[-24.967985461577232, -169.95513495731194]
[-0.6567586017328264, -172.31094976721207]
[-0.6557128032994243, 58.8649600637024]
[-25.0801309345374, -168.05286496118848]
[-0.6394639623767163, -172.3018342830518]
[-0.5883501254602709, 59.704611113434396]
[-25.17849216537788, -168.7765817770806]
[-0.5751544135421003, -171.31441472407752]
[-0.2350048875216299, 61.484473708889205]
[-25.228489588188292, -172.49854161459905]
[-0.5307675534548674, -170.2705025177196]
[-0.4041292263313212, 59.45115172906575]
[-25.18857811736947, -165.6800134795239]
[-0.3163024869481131, -169.89732346393407]
[-0.27225791762514434, 59.300127811189334]
[-25.037682101659374, -167.5329143536832]
[-0.37210167967334623, -170.50542526681474]
[-0.5658539645394544, 61.60254930456366]
[-25.175565667321354, -166.24055338460582]
[-0.5305297362781475, -172.39169376720395]
[-0.11525660702894269, 58.27513014405128]
[-25.100616208855314, -168.892375269295]
